BC014307
THC1593740
CYR61
MSX1
PX19
AMACR
ADM
PPP5C
ARS
IGFBP7
BCL2L1
Hs405541.1
BC001743
AZ2
AB015340
AK097258
AK023754
Hs87773.1
WASPIP
MPZ
I_957381
AA478981
KIAA0562
CA11
AF042162
SMARCA1
RPL18
Hs409539.1
Hs330350.1
Hs127356.1
MGC19595
TGFA
MGC35392
Hs121241.2
ING4
GOSR2
CDC2
HSPB1
NP
REPIN1
AB011123
PPIE
AF454744
MRPL20
NFAM1
PYCR1
Hs118380.1
LOC83468
VGCNL1
ID4
AF390029
MAX
CKAP1
AF113676
PACSIN1
NCL
TYK2
Hs442583.1
Hs196342.1
SERPING1
OLFM2
RBM9
Hs143863.1
VIPR1
Hs211600.1
BSPRY
MRPS12
GEMIN5
I_3539337
N4BP1
Hs75106.2
CASP8
RPL27A
SOS1
Hs85004.1
AF086393
AK024382
ALPL
Hs84673.2
BC007327
THC1426164
I_1109708
ZFYVE16
C3F
Hs87384.1
MGC3222
TCF3
Hs2247.1
AK090958
KATNB1
LHX3
C14orf135
Hs334837.4
SLC2A11
TNFRSF8
AK091730
NDUFA7
Hs79259.2
PTBP1
Hs301496.1
SLC9A7
CPA3
Hs423444.8
Hs99936.1
FHR-3
GEMIN6
BDKRB1
AK091287
PPP2R1B
I_1100491
Hs269925.1
NRCAM
Hs387539.1
AK075357
HMGA2
Hs98754.1
HRB
SNAPC4
AJ420510
MR-1
LOC81691
GRM7
RALGPS1A
Hs286.55
THC1550658
Hs187515.1
I_3587961
KIAA0999
BC031632
CASP1
SERPINE1
PAH
PCNA
Hs54751.1
BC020340
PVR
DKFZp434G0522
Hs146787.1
ABCF2
CA6
Hs116164.1
Hs16081.1
MAD2L1
Hs16621.1
LAPTM4B
I_1989444
CDC42EP3
BC014954
I_3540440
M15565
RSC1A1
SPUF
RBX1
SCRIB
Hs438217.2
PLCL1
SPHK1
CPNE2
LGALS3BP
C2orf7
NIPSNAP3A
Hs443671.1
Hs250175.1
SSA1
PRO1051
TOM1
PFDN5
CKAP4
RAB35
I_965598
Hs112970.2
Hs12503.1
CIDE-3
PTPRJ
ARHGEF2
Hs269041.1
FABP5
P29
Hs83259.1
THC1424871
AK002113
I_966146
HYOU1
Hs179565.1
Hs220261.1
Hs157864.1
I_936149
ACAA1
DKFZP434C171
FOXC2
ELK1
FOXO3A
Hs381235.1
BC005184
IL5RA
ENST00000331090
GATA6
Hs356082.1
RFX2
LOC159090
C7orf9
ZNF32
AK091771
Hs448854.1
AL833755
Hs145477.2
TP73
ALDH1A1
SLC25A22
Hs7094.1
Hs331315.1
AK000035
AF061936
BC015929
BICD1
AK074144
I_1896303
BQ345480
Hs6434.4
DDAH1
CD1C
Hs355484.1
A_32_BS85684
LAMP1
BTBD3
Hs250687.1
IFNA14
Hs128861.1
AF086354
TACR1
EST1B
Z11685
MLH1
FLJ12650
LOC51333
HAVCR1
ZNF450
SCYE1
AK055368
Hs147097.37
I_1110324
AK001477
BC002763
THC1423159
BC036782
I_956878
PHB
Hs93698.1
I_1000235
I_3222618
Hs128130.1
BG282751
Hs429721.1
DDT
SOX30
CCR2
I_966057
USP31
HSPC128
AB002340
Hs296406.3
LOC57795
CSNK2B
KCNA5
Hs386104.1
BC041955
AF320053
LOC283476
AK096674
AB051518
AF086041
Hs407308.1
ATPIF1
BC009927
FLJ25972
NECL1
Hs268744.8
I_3259265
UNC13B
PPFIA2
C10orf9
I_929154
SERPINB6
SKIP
FRAP1
CAMK2A
CGI-150
AK096566
AK095177
UPK1B
SMARCC2
ECHS1
Hs122840.1
PPFIA1
GMNN
ZNF195
Hs172979.1
A_32_BS234722
Hs434968.1
ENST00000293094
P24B
STATIP1
AK023660
AK027585
EEF1A1
GPA33
SEC13L1
Hs132882.1
NOL5A
CB243794
TUBE1
AK098269
HRI
MAPK9
CCNT1
MTSS1
A_32_BS5417
Hs293267.1
U43328
THC1434371
SPRR1B
ZNF350
PTPRC
HGRG8
SERHL
AY117438
Hs390543.1
BC014923
Hs149396.1
I_1965474
I_3214160
TP73L
FLJ14668
Hs3353.1
C7orf16
NEK3
EZH1
SARM1
Hs89434.1
USF1
GPR48
I_928498
I_3301406
AL136764
CAMP
Hs154495.2
LMNB2
AL110277
Hs96646.4
ENST00000332992
CYP2D6
Hs156879.2
AFAP
